Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Nouhou Tolo,SEA,D,22,16,1402,0,2,10,3,0,0/0,0,0,0.0,0.0,1,0,2,0.13,21,21,1,1,0,30.0,2020,reg
Adrien Regattin,CIN,M,10,7,630,0,2,10,3,0,0/0,0,0,0.0,0.0,1,0,2,0.29,6,11,2,0,0,30.0,2020,reg
Ben Sweat,MIA,D,22,20,1675,0,2,10,5,0,0/0,0,0,0.0,0.0,1,2,0,0.11,19,8,1,6,0,50.0,2020,reg
Felipe,DC,M,7,7,630,0,2,11,3,0,0/0,0,0,0.0,0.0,0,0,2,0.29,10,23,0,4,0,27.27,2020,reg
Marvin Loria,POR,M,17,9,712,0,2,15,6,0,0/0,0,0,0.0,0.0,0,1,1,0.25,10,15,3,0,0,40.0,2020,reg
Ronald Matarrita,NYC,D,21,19,1649,0,2,16,3,0,0/0,0,0,0.0,0.0,0,1,1,0.11,31,10,2,2,0,18.75,2020,reg
Andres Perea,ORL,M,23,11,1190,0,2,16,3,0,0/0,0,0,0.0,0.0,0,1,1,0.15,21,12,0,3,0,18.75,2020,reg
Bryan Acosta,DAL,M,11,10,759,0,2,17,8,0,0/0,0,0,0.0,0.0,0,1,1,0.24,23,8,1,2,1,47.06,2020,reg
Alex Muyl,NSH,M,20,15,1152,0,2,17,5,0,0/0,0,0,0.0,0.0,1,0,2,0.16,30,21,2,1,0,29.41,2020,reg
Thomas McNamara,NE,M,18,13,1043,0,2,18,3,0,0/0,0,0,0.0,0.0,1,0,2,0.17,12,17,0,2,0,16.67,2020,reg
Jose Andres Martinez,PHI,M,14,14,1148,0,2,20,3,0,0/0,0,0,0.0,0.0,0,2,0,0.16,31,21,0,7,0,15.0,2020,reg
Ryan Raposo,VAN,M,15,2,375,0,1,0,0,0,0/0,0,0,0.0,0.0,1,0,1,0.24,3,10,4,1,0,,2020,reg
Wyatt Omsberg,CHI,D,5,2,185,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.49,2,2,0,0,0,,2020,reg
Mustafa Kizza,MTL,D,1,0,19,0,1,0,0,0,0/0,0,0,0.0,0.0,1,0,1,4.74,0,0,0,0,0,,2020,reg
Gordon Wild,LA,F,3,0,30,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,3.0,1,2,1,0,0,,2020,reg
Andy Najar,LAFC,D,8,1,180,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.5,4,1,1,1,0,,2020,reg
Chris Cadden,CLB,D-M,8,3,353,0,1,0,0,0,0/0,0,0,0.0,0.0,1,1,0,0.25,4,4,0,1,0,,2020,reg
Greg Garza,CIN,D,9,7,512,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.18,5,5,0,1,0,0.0,2020,reg
Dom Dwyer,ORL,F,2,2,124,0,1,1,0,0,0/0,0,0,0.0,0.0,1,1,0,0.73,7,1,1,0,0,0.0,2020,reg
